Time,D/T,Wind Direction,Wind Speed,Temperature,Relative Humidity,PM 2.5,Atmospheric Pressure,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Smell Prediction,Hour,Date_Only
2026-02-12 13:28:00,1.39,210.9,0.0,24.51,40.33,47.5,1011.1,82.0,82.0,415.0,56.0,22.0,243.0,264.0,250.06,Ambient,13,2026-02-12
2026-02-12 13:29:00,1.35,210.9,0.0,24.5,40.31,47.0,1011.0,82.0,82.0,414.74,56.0,22.0,242.98,264.0,250.0,Ambient,13,2026-02-12
2026-02-12 13:30:00,1.35,210.9,0.0,24.55,40.2,46.33,1011.0,82.55,82.55,414.0,55.69,22.0,242.92,264.0,250.0,Ambient,13,2026-02-12
2026-02-12 13:31:00,1.35,210.9,0.0,24.56,40.06,48.0,1011.0,82.99,82.99,413.97,55.0,21.99,242.66,264.0,250.0,Ambient,13,2026-02-12
2026-02-12 13:32:00,1.34,210.9,0.0,24.56,40.04,48.5,1011.0,83.0,83.0,413.9,55.0,21.75,242.92,264.0,250.0,Ambient,13,2026-02-12
2026-02-12 13:33:00,1.36,210.9,0.0,24.58,40.24,47.67,1011.0,83.0,83.0,413.72,55.17,21.03,243.0,264.0,250.8,Ambient,13,2026-02-12
2026-02-12 13:34:00,1.38,210.9,0.0,24.58,40.28,47.33,1010.9,83.0,83.0,413.96,55.0,21.0,243.0,264.2,251.0,Ambient,13,2026-02-12
2026-02-12 13:35:00,1.44,210.9,0.0,24.62,40.44,47.83,1010.9,83.0,83.0,413.96,55.05,21.0,243.83,265.0,251.0,Ambient,13,2026-02-12
2026-02-12 13:36:00,1.48,210.9,0.0,24.63,40.61,46.83,1010.9,83.0,83.0,413.32,55.75,21.0,244.0,265.58,251.8,Ambient,13,2026-02-12
2026-02-12 13:37:00,1.47,210.9,0.0,24.65,40.91,46.83,1010.9,83.0,83.0,413.17,55.52,21.0,244.13,266.0,252.0,Ambient,13,2026-02-12
2026-02-12 13:38:00,1.48,210.9,0.0,24.67,40.85,47.67,1010.9,83.71,83.71,412.98,55.0,21.0,244.0,266.0,252.0,Ambient,13,2026-02-12
2026-02-12 13:39:00,1.44,210.9,0.0,24.72,40.62,46.8,1010.9,84.0,84.0,412.1,55.0,21.0,244.0,265.6,252.0,Ambient,13,2026-02-12
2026-02-12 13:40:00,1.4,210.9,0.0,24.72,40.37,47.14,1010.83,84.0,84.0,411.92,55.0,21.0,244.0,265.0,251.05,Ambient,13,2026-02-12
2026-02-12 13:41:00,1.36,210.9,0.0,24.7,40.29,48.0,1010.8,84.0,84.0,411.2,55.0,21.0,243.86,265.0,251.0,Ambient,13,2026-02-12
