Week,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
2026-02-09/2026-02-15,77.79,77.79,312.01,34.25,5.61,276.5,292.86,286.43
2026-02-16/2026-02-22,88.8,88.8,205.5,32.31,6.95,269.55,287.05,273.47
2026-02-23/2026-03-01,90.72,90.72,190.88,29.17,7.88,265.32,274.4,265.85
2026-03-02/2026-03-08,91.55,91.55,150.69,28.42,9.01,259.83,259.16,256.8
2026-03-09/2026-03-15,89.64,89.64,119.37,28.59,10.27,261.75,263.89,256.94
2026-03-16/2026-03-22,89.98,89.98,129.78,25.61,10.52,263.6,257.69,259.39
2026-03-23/2026-03-29,91.27,91.27,151.51,24.73,11.64,261.15,241.34,256.38
2026-03-30/2026-04-05,90.04,90.04,158.84,24.96,13.48,259.43,235.59,253.63
2026-04-06/2026-04-12,90.03,90.03,160.68,27.15,17.09,260.12,236.8,253.72
2026-04-13/2026-04-19,92.99,92.99,211.99,26.65,22.13,261.2,240.0,255.2
2026-04-20/2026-04-26,91.76,91.76,225.73,26.04,25.18,259.1,238.76,252.45
2026-04-27/2026-05-03,91.27,91.27,254.85,27.13,31.46,259.11,242.06,251.78
2026-05-04/2026-05-10,86.87,86.87,231.25,28.56,34.29,259.48,254.33,250.87
2026-05-11/2026-05-17,86.81,86.81,261.09,26.71,36.5,256.85,241.93,248.56
