Week,D/T,Wind Speed,PM 2.5
2026-02-09/2026-02-15,1.19,1.78,37.38
2026-02-16/2026-02-22,0.46,1.47,44.5
2026-02-23/2026-03-01,0.33,1.83,32.63
2026-03-02/2026-03-08,1.0,1.53,34.39
2026-03-09/2026-03-15,1.26,1.15,38.87
2026-03-16/2026-03-22,0.39,2.43,31.13
2026-03-23/2026-03-29,0.3,3.02,34.88
2026-03-30/2026-04-05,0.31,2.86,35.74
2026-04-06/2026-04-12,1.41,2.6,41.64
2026-04-13/2026-04-19,2.8,2.84,37.35
2026-04-20/2026-04-26,2.97,2.83,33.64
2026-04-27/2026-05-03,3.81,2.34,25.74
2026-05-04/2026-05-10,3.68,1.27,26.86
2026-05-11/2026-05-17,3.81,1.64,14.77
