Week,Temperature,Relative Humidity,Wind Speed,Atmospheric Pressure
2026-02-09/2026-02-15,30.26,64.08,1.78,1008.17
2026-02-16/2026-02-22,31.06,61.96,1.47,1008.3
2026-02-23/2026-03-01,30.79,64.82,1.83,1005.46
2026-03-02/2026-03-08,31.88,50.98,1.53,1007.32
2026-03-09/2026-03-15,31.3,52.4,1.15,1009.95
2026-03-16/2026-03-22,30.48,64.87,2.43,1008.77
2026-03-23/2026-03-29,31.22,65.41,3.02,1006.65
2026-03-30/2026-04-05,31.41,64.42,2.86,1006.4
2026-04-06/2026-04-12,32.48,60.1,2.6,1006.25
2026-04-13/2026-04-19,32.47,64.11,2.84,1005.63
2026-04-20/2026-04-26,31.96,66.0,2.83,1005.58
2026-04-27/2026-05-03,32.18,64.28,2.34,1006.36
2026-05-04/2026-05-10,30.94,69.17,1.27,1006.61
2026-05-11/2026-05-17,30.91,69.02,1.64,1005.72
